27-Sep-06 12:37 INFO 	 (GeneralActionServlet.java:61) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 12:37 INFO 	 (GeneralActionServlet.java:62) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/loginB4Action.do
27-Sep-06 12:37 INFO 	 (LoginB4Action.java:29) 	 Entering LoginB4Action***
27-Sep-06 12:37 INFO 	 (LoginB4Action.java:36) 	 Exiting LoginB4Action***
27-Sep-06 12:37 INFO 	 (GeneralActionServlet.java:64) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/loginB4Action.do
27-Sep-06 12:37 INFO 	 (GeneralActionServlet.java:65) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 12:37 INFO 	 (GeneralActionServlet.java:61) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 12:37 INFO 	 (GeneralActionServlet.java:62) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/loginAction.do
27-Sep-06 12:37 INFO 	 (GeneralActionServlet.java:64) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/loginAction.do
27-Sep-06 12:37 INFO 	 (GeneralActionServlet.java:65) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 12:37 INFO 	 (GeneralActionServlet.java:61) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
27-Sep-06 12:37 INFO 	 (GeneralActionServlet.java:62) 	  Request URI before super.process/dimsWorkSpace-dims-context-root/logoutAction.do
27-Sep-06 12:37 INFO 	 (LogoutAction.java:51) 	 Entering LogoutAction now...
27-Sep-06 12:37 DEBUG 	 (LogoutAction.java:56) 	 httpSession id to be invalidated is: c0a80007231ce6f3963ab15248709a8e993b54390f09
27-Sep-06 12:37 DEBUG 	 (LogoutAction.java:58) 	 httpSession id  removed from Context c0a80007231ce6f3963ab15248709a8e993b54390f09
27-Sep-06 12:37 INFO 	 (SessionListener.java:53) 	 Session invalidation called.
27-Sep-06 12:37 INFO 	 (SessionListener.java:54) 	 Starting Http Session cleanup.
27-Sep-06 12:37 INFO 	 (LogoutAction.java:65) 	 Exiting LogoutAction now...
27-Sep-06 12:37 INFO 	 (GeneralActionServlet.java:64) 	  Request URI after super.process/dimsWorkSpace-dims-context-root/logoutAction.do
27-Sep-06 12:37 INFO 	 (GeneralActionServlet.java:65) 	 Normal Execution of Process Method of GeneralActionServlet After super.process
27-Sep-06 12:38 INFO 	 (GeneralActionServlet.java:61) 	 Normal Execution of Process Method of GeneralActionServlet Before super.process
